iter	RMSE
0	1040.53283
1	988.8199386
2	940.0956605
3	902.7225029
4	876.9184836
5	857.8400472
6	844.5759466
7	830.3943379
8	822.2951542
9	813.7473085
10	806.501007
11	801.4671771
12	797.6946649
13	794.7087048
14	791.8377302
15	790.041851
16	786.5386285
17	785.3586561
18	783.0666581
19	781.2659056
20	779.3951893
21	774.9192606
22	772.5933919
23	770.8490598
24	769.5109341
25	767.9376158
26	767.0086127
27	765.8651124
28	764.5968906
29	763.6863532
30	762.7757522
31	762.0737882
32	761.2130972
33	760.2985979
34	759.4828207
35	758.7375056
36	757.8057882
37	756.5305647
38	756.185765
39	755.3385081
40	753.9169038
41	752.761925
42	751.6885491
43	751.1013569
44	750.2947889
45	749.5729653
46	748.6317326
47	747.3890276
48	746.691153
49	745.9618504
50	745.4120585
51	744.9505218
52	744.1041693
53	743.7503235
54	743.1014351
55	742.4609125
56	741.9003913
57	741.4084874
58	741.0086722
59	740.6709906
60	739.9775713
61	739.0324397
62	738.5227969
63	738.1896684
64	737.7314099
65	737.3912832
66	737.025233
67	736.7285293
68	736.2002753
69	735.676471
70	735.3201198
71	735.1386134
72	734.9242785
73	734.5385114
74	734.1804485
75	733.7473064
76	733.4416761
77	733.0743036
78	732.7152929
79	732.2457101
80	731.8629363
81	731.3611467
82	731.0980104
83	730.4483469
84	730.1662083
85	729.9067068
86	729.5013333
87	729.3109114
88	728.6646107
89	728.4640486
90	728.2341848
91	727.8515548
92	727.420693
93	727.2577306
94	726.825362
95	726.6516963
96	726.3226865
97	725.9656945
98	725.5988596
99	725.2308332
