iter	Passed	Remaining
0	762	75530
1	1504	73706
2	2448	79153
3	5003	120088
4	6195	117705
5	7322	114718
6	8375	111280
7	10044	115515
8	11181	113055
9	12575	113180
10	13699	110843
11	14607	107119
12	15558	104124
13	16725	102743
14	17639	99956
15	18538	97324
16	19457	95000
17	20419	93022
18	21311	90855
19	22244	88979
20	23177	87189
21	24130	85555
22	25163	84243
23	26111	82686
24	27078	81236
25	28040	79808
26	29191	78925
27	30331	77996
28	31294	76616
29	32401	75602
30	33318	74159
31	34213	72704
32	35222	71513
33	36161	70196
34	37148	68990
35	37997	67551
36	38939	66303
37	39899	65098
38	40818	63844
39	41698	62548
40	42631	61347
41	43557	60150
42	44533	59032
43	45654	58105
44	46609	56966
45	47527	55792
46	48523	54717
47	49471	53594
48	50347	52402
49	51271	51271
50	52289	50238
51	53310	49209
52	54209	48072
53	55323	47127
54	56693	46385
55	57837	45443
56	58938	44462
57	60233	43617
58	61480	42723
59	62785	41856
60	63819	40802
61	64796	39714
62	65733	38605
63	66633	37481
64	67562	36379
65	68670	35375
66	69528	34245
67	70458	33156
68	71403	32079
69	72294	30983
70	73271	29927
71	74231	28867
72	75080	27769
73	75992	26700
74	77049	25683
75	78148	24678
76	79295	23685
77	80500	22705
78	82215	21854
79	83085	20771
80	84037	19712
81	84986	18655
82	86193	17654
83	87247	16618
84	88371	15594
85	89981	14648
86	91076	13609
87	92533	12618
88	93830	11597
89	94977	10553
90	96150	9509
91	99170	8623
92	100532	7566
93	101472	6476
94	103077	5425
95	104289	4345
96	106772	3302
97	107630	2196
98	108547	1096
99	110632	0
